Nome,Data,Latitude,Longitude,Stato,Categoria,Link_thumbnail,id,Thumbnail,,
societa_del_giardino,2023:08:22,45.46599797,9.193329,attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/77.jpg,77,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/77.jpg?raw=true"">",,
star_jolly_club,2023:08:22,45.46608297,9.197222972,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/78.jpg,78,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/78.jpg?raw=true"">",,
stork,2023:08:23,45.462803,9.189743972,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/79.jpg,79,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/79.jpg?raw=true"">",,
supercinema_alcione,2023:08:22,45.458775,9.18237,non attivo,Cinema Teatro,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/80.jpg,80,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/80.jpg?raw=true"">",,
taverna_della_giarrettiera,2023:08:23,45.46595826,9.18997235,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/81.jpg,81,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/81.jpg?raw=true"">",,
taverna_duomo,2023:08:23,45.46502,9.191288,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/82.jpg,82,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/82.jpg?raw=true"">",,
taverna_messicana,2021:08:10,45.46665313,9.181304424,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/83.jpg,83,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/83.jpg?raw=true"">",,
teatrino_del_corso,2023:08:23,45.465406,9.194988972,non attivo,Teatro/Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/84.jpg,84,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/84.jpg?raw=true"">",,
teatro_alla_scala,2021:08:10,45.46716696,9.189953782,attivo,Teatro/Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/85.jpg,85,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/85.jpg?raw=true"">",,
teatro_alle_maschere,2023:08:22,45.46588797,9.199249,non attivo,Teatro/Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/86.jpg,86,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/86.jpg?raw=true"">",,
